/,,,,,개발자 전달용 피그마 : https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2104-23870&t=MlhrLKl52ZbixSEe-1,반영 확인용 링크: https://picklab-fe.vercel.app/ ,,,
프로젝트 명,픽랩,,,,,,,,
작성자,이다은,,,,,,,,
,,"비로그인,로그인",MOBILE,메인화면,,top margin : 36px 으로 수정하여 노출,100,미반영,
,,"비로그인,로그인",MOBILE,메인화면,,top margin : 36px 으로 수정하여 노출,100,미반영,
,,"비로그인,로그인",MOBILE,메인화면,,"검색이 처음 일 경우 + 검색바의 인풋 클릭 시 아래 링크로 화면 이동
-> https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2107-20308&t=TFucAJoE5uca7ZNj-1 

검색 1번 이상일 경우 + 검색바의 인풋 클릭 시 아래 링크로 화면 이동
-> https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2594-34191&t=TFucAJoE5uca7ZNj-1 

검색어를 입력할 때 아래 링크의 화면 노출
-> https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2107-20418&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,"비로그인,로그인",MOBILE,"메인화면 > 대외활동
메인화면 > 강연/세미나
메인화면 > 교육
메인화면 > 공모전/해커톤",,"대외활동 tab 클릭 시, 탭메뉴까지 홈화면과 같은 양식으로 유지하여 노출

화면 링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2594-34529&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,"비로그인,로그인",MOBILE,"메인화면 > 대외활동
메인화면 > 강연/세미나
메인화면 > 교육
메인화면 > 공모전/해커톤",,"- 왼쪽 버튼-은 필터 아이콘으로 수정, 아이콘 크기 20px로 노출

- 오른쪽 버튼은 컬러 50으로 수정, 새로고침 아이콘 크기 20px로 노출

화면링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2594-34529&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,"비로그인,로그인",MOBILE,"메인화면 > 대외활동
메인화면 > 강연/세미나
메인화면 > 교육
메인화면 > 공모전/해커톤",,너비 128px로 수정하여 노출,100,미반영,
,,"비로그인,로그인",MOBILE,"메인화면 > 대외활동
메인화면 > 강연/세미나
메인화면 > 교육
메인화면 > 공모전/해커톤",,"- 미선택 버튼은 gray-filled-hover 사용
- 탭메뉴 디자인은 홈화면의 탭과 스타일 동일하게 수정
- 최하단의 초기화 아이콘 버튼 삭제
- 최하단에 초기화, 적용하기 버튼 추가
- 바텀 시트의 높이값은 460px 로 수정

디자인이 조금 수정되어 아래 링크의 화면으로 수정하여 노출
-> https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-82832&t=TFucAJoE5uca7ZNj-1 ",100,미반영,
,,"비로그인,로그인",MOBILE,메인화면 > 공고상세,,"- GNB와 컨텐츠간의 간격 20px 추가하여 노출
- 모집중 텍스트 크기 12px로 수정",100,미반영,
,,"비로그인,로그인",MOBILE,메인화면 > 공고상세,,20px로 수정하여 노출,100,미반영,
,,"비로그인,로그인",MOBILE,메인화면 > 공고상세,,간격값을 8px으로 수정하여 노출,100,미반영,
